,PostalCode,Borough,Neighborhood
191,M5X,Downtown Toronto,First Canadian Place
192,M5X,Downtown Toronto,Underground city
193,M8X,Etobicoke,The Kingsway
194,M8X,Etobicoke,Montgomery Road
195,M8X,Etobicoke,Old Mill North
196,M4Y,Downtown Toronto,Church and Wellesley
197,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
198,M8Y,Etobicoke,Humber Bay
199,M8Y,Etobicoke,King's Mill Park
200,M8Y,Etobicoke,Kingsway Park South East
201,M8Y,Etobicoke,Mimico NE
202,M8Y,Etobicoke,Old Mill South
203,M8Y,Etobicoke,The Queensway East
204,M8Y,Etobicoke,Royal York South East
205,M8Y,Etobicoke,Sunnylea
206,M8Z,Etobicoke,Kingsway Park South West
207,M8Z,Etobicoke,Mimico NW
208,M8Z,Etobicoke,The Queensway West
209,M8Z,Etobicoke,Royal York South West
210,M8Z,Etobicoke,South of Bloor
